,x,y,types
44,5767.912201723506,15662.088558328645,L5 PT
45,14174.25678334522,11794.603571566875,L6 PT
46,21202.650994933505,13083.765462035259,Sst
47,11172.779500217946,5275.481196115384,L2/3 IT
48,8782.960786800764,9216.395893193483,L4
49,13680.1647382,5961.34325636818,Vip
50,12581.94759052941,9597.36400418382,Pvalb
51,6726.177292686477,10648.090377478617,L4
52,22905.882744281713,12149.951435628082,L5 PT
53,9534.231825873443,21166.95439104232,Vip
54,5972.412641863206,18828.648619145468,L6 PT
55,4493.172543804886,15140.495888522988,L5 IT
56,7992.309119272205,8954.226848025073,Vip
57,5898.470826879719,12062.675931493002,L4
58,6497.5092660173905,6175.79195347391,Sst
59,10147.189009555292,10451.635826797645,L4
60,10586.190622988404,8145.526445439127,Sst
61,11143.893011357704,5473.362189755735,Vip
62,7095.348150400949,19011.519589628824,L6 PT
63,19240.1907158668,4485.792332917093,L2/3 IT
64,8128.840862168055,12648.446574601388,L5 IT
65,6443.605173673101,16741.820397945718,L6 IT
66,11548.528674149851,10004.53752238112,L4
67,15114.367135623503,7970.4983736243,Sst
68,6437.432166679794,11633.12978705,L4
69,17683.46332379418,5356.515873375191,Sst
70,16707.627244204603,10910.592761744734,L5 IT
71,15303.428842693502,12752.070505271999,L6 PT
72,18083.929190702856,12110.214162054284,Sst
73,6269.144696065331,18096.873895068133,Sst
74,12808.599178710589,12541.29841341333,L6 IT
75,10783.110170211108,7726.780831690474,Sst
76,22006.929352402974,9371.45395887865,L6 PT
77,19877.996661158053,7189.354505851245,Pvalb
78,6462.370404244047,11066.98440338333,Astro
79,7452.573617516048,7546.615403843207,L2/3 IT
80,20899.129356886773,11693.98472637139,L6b
81,16079.720423249995,11870.631923605766,L6 PT
82,4394.943788947824,7922.522380173911,Sst
83,14313.476757980416,12134.196531930069,L6 IT
84,6084.824614918957,14260.28658488041,L6b
85,21778.58290510009,11806.734693790091,L6 IT
86,10849.241503798728,17087.250263987942,Lamp5
87,7486.591185482074,11767.46909475755,L4
88,19191.41478690684,9580.754496471049,L6 IT
89,11587.827005930469,7943.145706123045,L4
90,7945.273478218125,8182.649665889727,L4
91,3980.2649301770393,14157.987042676787,L4
92,3210.024311543433,9276.955699157574,Lamp5
93,6899.055528499999,10831.9454285931,L4
94,14634.418846107135,4619.311590042856,Sst
95,4577.514470964389,14108.698842386631,L4
96,12568.217573778467,10361.522909158028,Pvalb
97,20749.10049365537,12403.326132796605,L6b
98,6479.849908080501,12151.429304255344,L4
99,4486.472953097057,10117.79591335392,L2/3 IT
100,7602.672206552701,21516.49218461324,Sst
101,6322.48547654561,19912.300648304343,L6b
102,6053.191066989283,20904.975057095708,Pvalb
103,15603.885120674418,12488.059221598254,L6 PT
104,11291.192616060682,8368.278333429631,L4
105,17628.928399829656,8141.138817528274,Lamp5
106,8219.254187979592,7281.546435953058,L2/3 IT
107,16417.97555395169,5264.292634911013,L2/3 IT
108,17809.56803310331,8650.921038542381,Sst
109,18357.427480668746,7125.8014087826905,L5 IT
110,5385.7571437892375,10971.904046171834,Pvalb
111,16235.89585117586,10182.755668282756,L6 IT
112,10007.6995165978,7121.883419501096,Vip
113,19050.92505537185,15136.295571436736,Sst
114,13525.51933979324,13745.02618607878,L6 IT
115,10011.333382647155,16670.785426457234,L6 PT
116,15064.42890741501,9071.580576558412,L5 PT
117,14003.277672616665,9078.960491758333,Sst
118,19835.93867982604,8720.644095331247,L6 IT
119,13692.91762655673,13895.40634787557,L6 PT
120,13466.220727120584,14111.87481124554,L6 PT
121,8609.633506530789,7750.151894328608,Lamp5
122,22019.9564587186,11242.721510180432,L6 PT
123,16522.526727673136,11882.051630911423,L6 IT
124,20180.188952727174,9751.916304894341,L6 IT
125,12632.606869109091,9832.224588539391,Pvalb
126,16698.66956641415,8664.354636429229,Sst
127,18773.670675997026,13890.007488578567,Vip
128,7969.333642854544,16449.205021880454,L6 IT
129,20335.5091729571,13699.096695008197,L5 NP
130,8971.443601271429,4690.5874290338315,VLMC
131,5444.42716965588,10003.49885378088,L2/3 IT
132,18771.976120620162,7438.907552409875,L5 PT
133,15873.707376763841,4565.618815508473,L2/3 IT
134,11172.411475846466,8794.151165498988,L4
135,17466.919193485188,11416.600911107405,Endo
136,5616.534941222014,8397.744808064923,L2/3 IT
137,5062.228329054053,12475.109029310808,Sst
138,13587.530243782607,9634.47093723478,Pvalb
139,16392.873091010184,12732.357928283991,L6 PT
140,7590.764407260641,17523.80234638651,L6 IT
141,12807.631941190088,13435.88808525366,L6 PT
142,23376.66901112333,10047.52831992381,Sst
143,9507.884902546186,20463.69347452668,L6b
144,16615.698592774996,13670.519629137498,Oligo
145,16169.176333830257,7789.249094679824,L4
146,3891.994708298717,13377.321309018711,Sst
147,8229.985149614093,11668.011826498654,Vip
148,8156.128212497434,15352.656385684355,Sst
149,16695.018308395633,7023.2366964293615,L4
150,20842.572977057218,5966.129706200924,L4
151,8134.515446742451,14167.56547665646,Lamp5
152,7755.313675637496,7858.2344070392055,L2/3 IT
153,15802.105893879863,5838.2114792255015,Vip
154,21639.97381133175,10737.722769060698,L6 IT
155,13210.179859198484,14497.638210912875,Sst
156,11065.619430189086,16623.323749530722,Lamp5
157,6731.994235329747,11263.286492725947,L4
158,4303.866946985046,13248.67375886569,L4
159,13549.370244927148,5229.271309341173,L2/3 IT
160,16085.573292712495,2204.1659709437486,Macrophage
161,4016.817782295072,9597.717064393593,Vip
162,10174.028735004704,12814.407864781762,L5 IT
163,15782.077297070415,11359.30267923063,L6 IT
164,11897.874578775607,13593.525862284632,Sst
165,13742.547080843677,6313.050283502872,L4
166,6232.598780901331,17007.933974904267,L6 IT
167,14574.556013872883,13384.137117093976,L6 PT
168,15923.926256924611,6652.314887643588,L4
169,6647.381306873104,17568.713953879032,L6 PT
170,16485.452424252737,12514.88102256815,L6 PT
171,10061.405494870789,8554.827552500685,L4
172,14494.806449811109,5018.675718719997,L2/3 IT
173,19077.125772692005,5417.99736695521,L4
174,3318.3377996587365,10643.617692181551,L2/3 IT
175,17885.056794688888,10940.910208172729,L6 PT
176,12178.204869090825,9841.694850066971,L5 NP
177,20088.30627777109,11326.089403345,L6 PT
178,4013.0019717120617,16833.804865541297,L5 IT
179,8928.765794736159,18122.75752118173,L6 PT
180,7003.340074055657,15786.12361781699,Pvalb
181,14851.58223318833,6817.308228685832,L4
182,20136.628042110846,12226.292433261751,L6b
