,x,y,types
66,1372.16337076,6146.8830543,L6 IT
67,1373.96337076,5947.983054300001,Lamp5
68,1373.51337076,5988.033054300001,Sst
69,1376.66337076,5901.6330543,Sst
70,1379.81337076,6196.8330543,Pvalb
71,1384.31337076,6071.733054300001,Sst
72,1376.21337076,5983.983054300001,Sst
73,1382.06337076,6020.433054300001,Pvalb
74,1385.21337076,5863.8330543,L6b
75,1389.26337076,6045.183054300001,L6b
76,1389.71337076,6154.533054300001,Sst
77,1389.71337076,6233.733054300001,L6b
78,1391.96337076,5918.283054300001,L6b
79,1391.96337076,6223.8330543,L6 PT
80,1393.76337076,5713.533054300001,VLMC
81,1393.76337076,6030.3330543,Lamp5
82,1396.91337076,5732.8830543,Endo
83,1398.26337076,5687.8830543,Sst
84,1402.76337076,5844.933054300001,Sst
85,1410.86337076,5888.5830543,Oligo
86,1414.01337076,5923.683054300001,L6b
87,1413.56337076,6085.233054300001,Astro
88,1421.21337076,6142.3830543,VLMC
89,1423.46337076,5997.033054300001,Sst
90,1433.36337076,5968.233054300001,Macrophage
91,1438.76337076,6119.433054300001,Vip
92,1441.01337076,6051.933054300001,Astro
93,1438.31337076,5903.433054300001,Vip
94,1441.01337076,5845.8330543,Astro
95,1445.51337076,5945.733054300001,Pvalb
96,1450.01337076,6102.783054300001,Endo
97,1455.41337076,5732.433054300001,Sst
98,1462.16337076,5651.8830543,L2/3 IT
99,1468.91337076,5764.3830543,Lamp5
100,1473.41337076,5950.683054300001,Vip
101,1473.86337076,6147.3330543,Vip
102,1473.86337076,5991.183054300001,Vip
103,1475.21337076,6220.233054300001,Lamp5
104,1478.81337076,6164.433054300001,Sst
105,1503.56337076,5938.0830543,Astro
106,1505.81337076,6150.483054300001,Vip
107,1513.91337076,6228.3330543,L6 IT
108,1507.61337076,5926.3830543,Vip
109,1509.41337076,5700.033054300001,Vip
110,1512.11337076,6098.283054300001,Vip
111,1513.91337076,6203.5830543,Pvalb
112,1511.66337076,5951.1330543,Lamp5
113,1524.71337076,6069.033054300001,Sst
114,1519.31337076,5950.683054300001,Vip
115,1523.81337076,6143.283054300001,Vip
116,1528.76337076,5896.233054300001,Oligo
117,1529.66337076,5849.433054300001,Sst
118,1540.01337076,6195.033054300001,Vip
119,1549.91337076,6152.733054300001,Sst
120,1550.81337076,5872.8330543,Vip
121,1557.56337076,6185.1330543,L6 IT
122,1560.71337076,6220.683054300001,Lamp5
123,1562.96337076,5893.0830543,Sst
124,1567.91337076,6202.683054300001,Pvalb
125,1574.21337076,6142.3830543,L6 PT
126,1579.61337076,5965.983054300001,Lamp5
127,1579.16337076,6345.3330543,L6 PT
128,1581.86337076,6177.483054300001,L6 PT
129,1586.81337076,6301.233054300001,Lamp5
130,1587.26337076,6106.8330543,Vip
131,1591.76337076,6245.433054300001,L6 PT
132,1589.51337076,6269.283054300001,L6 IT
133,1587.71337076,6396.183054300001,Pvalb
134,1596.71337076,6024.483054300001,Lamp5
135,1596.26337076,6207.6330543,Vip
136,1596.26337076,6385.3830543,L6 PT
137,1605.71337076,6349.8330543,L6 IT
138,1609.31337076,6109.0830543,L6b
139,1603.91337076,6184.233054300001,L4
140,1604.36337076,6372.3330543,L6 PT
141,1609.76337076,6131.1330543,L6 PT
142,1612.91337076,6083.433054300001,Sst
143,1612.46337076,6270.183054300001,Sst
144,1613.81337076,6330.033054300001,Vip
145,1618.31337076,6312.483054300001,L6 PT
146,1620.56337076,6374.1330543,L6 PT
147,1622.36337076,6152.733054300001,L6 PT
148,1624.16337076,6389.433054300001,Lamp5
149,1628.21337076,6416.8830543,L5 IT
150,1626.41337076,6001.0830543,Sst
151,1627.76337076,6352.533054300001,L6 PT
152,1628.66337076,6033.933054300001,L6 IT
153,1632.26337076,6076.683054300001,L6 PT
154,1632.71337076,6188.733054300001,L6 IT
155,1639.01337076,6135.6330543,L6 PT
156,1635.41337076,6203.5830543,L6 IT
157,1635.41337076,6337.683054300001,L6 IT
158,1639.01337076,6249.933054300001,L6 PT
159,1642.16337076,6216.6330543,L6 IT
160,1640.81337076,6315.183054300001,Sst
161,1643.51337076,6175.233054300001,Lamp5
162,1651.16337076,5983.983054300001,L6b
163,1643.96337076,6106.3830543,Pvalb
164,1647.11337076,6270.183054300001,L6 PT
165,1645.31337076,6092.8830543,L6 IT
166,1648.91337076,5920.533054300001,Sst
167,1651.16337076,6118.0830543,L6 PT
168,1655.21337076,6259.3830543,L6 PT
169,1654.76337076,6298.983054300001,L6 PT
170,1657.46337076,6322.3830543,L6 IT
171,1653.41337076,5985.3330543,Lamp5
172,1657.46337076,6065.8830543,L6 PT
173,1657.46337076,6365.5830543,Lamp5
174,1659.26337076,6406.0830543,L6 PT
175,1665.11337076,6028.0830543,Sncg
176,1659.26337076,6388.0830543,Pvalb
177,1661.96337076,6191.8830543,Sst
178,1665.11337076,6200.8830543,Lamp5
179,1667.81337076,6241.8330543,L6 IT
180,1667.36337076,6227.8830543,L6 PT
181,1670.06337076,5957.433054300001,L6b
182,1670.51337076,6287.733054300001,L6 IT
183,1669.16337076,6381.783054300001,L6 PT
184,1672.31337076,6312.033054300001,L6 PT
185,1674.56337076,6111.783054300001,L6 PT
186,1676.36337076,6363.3330543,L6 IT
187,1676.81337076,6099.183054300001,Vip
188,1678.61337076,6139.233054300001,L6 IT
189,1683.11337076,5920.533054300001,L6b
190,1691.21337076,6163.983054300001,L6 IT
191,1684.46337076,6219.783054300001,Lamp5
192,1687.16337076,6388.533054300001,L6 PT
193,1690.31337076,5970.033054300001,L6 PT
194,1691.66337076,5995.683054300001,L6 PT
195,1689.86337076,6125.283054300001,L6 PT
196,1691.66337076,6059.5830543,L6 PT
197,1693.01337076,6415.533054300001,L6 IT
198,1697.51337076,6262.0830543,Pvalb
199,1698.41337076,6097.8330543,L6 PT
200,1696.61337076,6435.3330543,L6 IT
201,1700.66337076,6040.233054300001,L6 IT
202,1699.31337076,6178.3830543,L6 PT
203,1701.11337076,6368.733054300001,L6 PT
204,1706.96337076,5907.033054300001,L6 IT
205,1704.26337076,6127.983054300001,L6 PT
206,1704.71337076,5707.233054300001,Lamp5
207,1706.06337076,5938.983054300001,Sst
208,1706.96337076,6015.483054300001,L6 PT
209,1705.16337076,5719.8330543,Sst
210,1705.61337076,5815.233054300001,L6 IT
211,1711.46337076,5875.983054300001,Sst
212,1711.01337076,5953.3830543,L6 PT
213,1710.56337076,6067.233054300001,Lamp5
214,1713.71337076,6358.3830543,L6 IT
215,1715.96337076,5893.983054300001,L6b
216,1720.91337076,6163.0830543,Pvalb
217,1723.61337076,6239.5830543,Pvalb
218,1724.06337076,6074.433054300001,L6 PT
219,1726.31337076,5997.933054300001,Pvalb
220,1727.21337076,5953.3830543,Vip
221,1728.56337076,6425.433054300001,Lamp5
222,1731.26337076,6132.033054300001,L6 PT
223,1729.01337076,6148.683054300001,Lamp5
224,1739.81337076,6015.933054300001,L6 IT
225,1735.76337076,6318.3330543,L6 IT
226,1736.21337076,5854.8330543,L6b
227,1739.81337076,5984.8830543,L6 IT
228,1743.41337076,6105.483054300001,L6 IT
229,1739.81337076,6352.0830543,Sst
230,1739.36337076,6442.533054300001,L6 IT
231,1740.71337076,6274.233054300001,L6 IT
232,1742.96337076,5887.233054300001,L6 PT
233,1742.96337076,5958.3330543,L6 PT
234,1741.16337076,6216.6330543,L6 IT
235,1745.21337076,6411.483054300001,L5 IT
236,1747.46337076,5832.783054300001,L6b
237,1747.91337076,5973.6330543,L6 PT
238,1750.61337076,6127.983054300001,Pvalb
239,1750.16337076,5478.183054300001,Lamp5
240,1751.96337076,6145.0830543,Sst
241,1751.06337076,6288.183054300001,Vip
242,1752.41337076,5996.5830543,L6 IT
243,1754.66337076,5508.783054300001,Sst
244,1758.71337076,5921.433054300001,L6 PT
245,1758.26337076,6175.683054300001,L6 IT
246,1760.06337076,6159.933054300001,L6 IT
247,1764.11337076,6060.933054300001,L6 PT
248,1762.76337076,6258.483054300001,L6 IT
249,1761.86337076,6298.533054300001,L5 IT
250,1766.36337076,6042.033054300001,Lamp5
251,1766.36337076,6416.8830543,L5 PT
252,1769.06337076,6100.533054300001,Pvalb
253,1774.91337076,5871.483054300001,L6 PT
254,1767.26337076,5794.983054300001,L6 IT
255,1768.61337076,6116.733054300001,L6 IT
256,1769.96337076,5960.1330543,L6 PT
257,1771.31337076,5786.8830543,Sst
258,1778.96337076,6324.6330543,Sst
259,1772.21337076,5926.8330543,L6 PT
260,1774.01337076,6145.533054300001,Pvalb
261,1776.71337076,6399.3330543,Pvalb
262,1781.21337076,5843.1330543,Sst
263,1778.51337076,5515.983054300001,Sst
264,1782.56337076,6089.283054300001,L6 IT
265,1781.21337076,6209.8830543,Lamp5
266,1783.91337076,5956.0830543,Vip
267,1785.26337076,6297.183054300001,L6 IT
268,1787.51337076,6236.433054300001,Lamp5
269,1789.31337076,5178.933054300001,Vip
270,1786.16337076,6000.183054300001,Lamp5
271,1788.86337076,6108.183054300001,L6 PT
272,1789.76337076,6136.983054300001,L6 PT
273,1791.56337076,6535.233054300001,L5 IT
274,1794.26337076,5029.533054300001,Sst
275,1789.76337076,5776.0830543,Lamp5
276,1791.56337076,5930.8830543,Lamp5
277,1793.36337076,6010.533054300001,Lamp5
278,1794.26337076,5146.0830543,Sst
279,1795.16337076,5214.933054300001,L6 IT
280,1790.66337076,5943.483054300001,L6 PT
281,1793.36337076,5233.8330543,L6 IT
282,1796.96337076,6610.8330543,L4
283,1797.41337076,5898.933054300001,L6 IT
284,1799.66337076,6459.183054300001,Lamp5
285,1800.11337076,6037.0830543,Sst
286,1802.81337076,6496.0830543,L5 PT
287,1801.91337076,6094.683054300001,L6 IT
288,1803.26337076,6416.433054300001,Lamp5
289,1804.16337076,5861.1330543,L6 PT
290,1805.51337076,6313.8330543,L5 IT
291,1805.51337076,5962.3830543,Lamp5
292,1805.06337076,6079.3830543,L6 PT
293,1804.61337076,6523.0830543,L5 PT
294,1806.41337076,6163.0830543,L5 IT
295,1805.96337076,6287.733054300001,Pvalb
296,1810.01337076,5121.783054300001,Vip
297,1809.11337076,5875.983054300001,L6 PT
298,1817.21337076,5981.283054300001,L6 IT
299,1808.66337076,6204.933054300001,L6 IT
300,1810.46337076,6235.0830543,L6 IT
301,1814.06337076,6547.3830543,Sst
302,1815.86337076,5691.933054300001,Sst
303,1813.16337076,6027.6330543,Sst
304,1817.21337076,5835.033054300001,Sst
305,1816.31337076,6144.6330543,L6 IT
306,1824.86337076,6219.783054300001,Sst
307,1819.46337076,6375.033054300001,L5 IT
308,1822.16337076,6456.033054300001,L5 PT
309,1821.26337076,6531.6330543,L5 NP
310,1819.46337076,6564.483054300001,Pvalb
311,1824.86337076,6040.233054300001,L6 PT
312,1827.56337076,6110.8830543,L6 IT
313,1821.71337076,6622.0830543,Sst
314,1828.46337076,5949.3330543,L6 PT
