,L4,Vip,Lamp5,L5 NP,Sst,L5 IT,Oligo,L6 PT,L6 IT,Sncg,Pvalb,L2/3 IT,Astro,L5 PT,L6b,Endo,Peri,Meis2,Macrophage,CR,VLMC,SMC
2859,0.00027039692695418616,0.5237712377312683,0.2912965563265831,0.0007196901358815788,0.14882669848030178,0.4633589008995353,7.831600341109968e-06,4.016584441748905e-05,0.09768064859995249,0.179539758800206,6.779443294790966e-05,3.297231352794583e-05,8.039773154888685e-06,5.366951266052439e-05,0.6745253989223908,1.0214146763908027e-06,6.558012716206818e-08,1.6470449633043671e-06,3.105906549842781e-06,1.0186132931577774e-07,3.301604244801415e-05,2.033864525741169e-06
2860,0.00019129842426907073,0.5915212758872146,4.43798026535519e-05,3.275781270684064e-06,0.518377047845834,0.17855680514451816,3.391729313868136e-05,1.126466090128897e-05,0.2525839898000949,1.1261353520697348e-05,0.14119563981441768,0.8796889070072258,6.068149471169515e-06,3.6779785927872066e-06,1.9031783539402714e-05,1.0924955836516537e-06,6.433744799416719e-08,5.868474021175629e-07,1.1447495285137055e-06,1.736880607117186e-06,0.04941945824647806,3.1813542523267957e-06
2861,8.412431707058299e-06,0.41281882085777766,0.006867968285737325,0.0003617978366192709,0.33738069705389995,0.0001335165987847997,1.603601195952764e-05,1.1894956852530734,0.22427007894277945,5.397652136049369e-05,0.04924701304664694,6.56268686032857e-05,6.217813593417665e-06,1.8738937896070618e-05,0.0019210086411243221,2.7325750293558104e-06,6.564166956865569e-08,5.694761531715997e-05,1.9347221677790127e-06,1.778081042402846e-07,1.2380742648310239e-05,4.5351808039384434e-05
2862,1.3628044210678425e-05,3.039212594913021e-05,0.04023682937419856,0.047034291319067556,0.11008456316480845,0.0018516040615265128,0.2933021209936724,0.10440830667732759,7.253764245633565e-05,2.580920709038814e-06,2.1852866137941906e-05,0.1594638534509523,0.042045694137116535,1.516151956010292e-05,3.179316946005928e-05,0.0017302801434256748,4.587621724172486e-08,3.898244768762993e-06,0.9986654107244708,6.121002464887226e-07,9.223259687995977e-06,1.4310568354464204e-05
2863,1.1674018883911508e-05,0.20495467883890703,0.00011975227101042318,0.5524070122615379,0.33688716777670696,0.17528002984657381,2.7289818434361734e-05,0.00010163920638417423,1.96469752262729e-05,5.651474955320479e-06,0.0015296829644449311,8.788828223527112e-06,8.877432530796092e-05,0.38078518510363674,0.05541741179910417,4.276016604932292e-05,7.527957334406421e-07,0.16071421143178255,1.8026367408639082e-05,2.2409009603485686e-07,2.8532364807487554e-06,0.031534586200254455
2864,1.0408913417789267e-05,0.30012149806143784,0.7514568648071167,2.1685348029487628e-06,1.9613068080428686,4.836158719240258e-06,4.14106589195079e-06,6.314921107253291e-06,7.759030219434138e-06,1.9533743759875266e-05,0.34826772988558946,7.888950463802447e-06,3.489975409304291e-06,2.116781045984756e-06,2.284664207541365e-06,9.419547234816583e-07,2.5225948843687895e-08,5.898538888438054e-07,5.706153997572794e-07,1.5118675467107323e-07,3.25705187009806e-06,1.055072017058789e-06
2865,1.0444061554842898e-05,0.6773638009242002,0.2765923239890859,5.459026286569468e-05,1.1480084224895197,1.7426149267696367e-05,0.04290742124343177,1.975225630601596e-05,1.4967902705997904e-05,1.2422264256475857e-05,2.1855145206528537e-05,6.004302392184635e-06,0.5243563915256865,0.698982314723649,0.0001189736554466081,5.303625565250547e-07,2.0289772834081177e-08,0.35150987486789576,5.605767136544065e-07,1.653526806588701e-07,1.3334067302112063e-06,1.1916752332141733e-06
2866,1.2974694507658646e-05,0.46681583819700445,0.13487258176915218,1.340998938537119e-05,0.3943816907888811,1.3961795877232008e-05,0.19000716198089695,2.0050293038087474e-05,0.31912485006064756,1.538027464577374e-05,7.265788442335774e-05,2.159742601615111e-05,0.06403738101945056,9.325811761377867e-06,0.22392166212439807,1.0872157209226851e-05,1.8329082074330927e-07,1.5624548059811616e-06,3.6467617653065942e-06,2.1707602049225727e-07,0.1082133200552644,3.0238374935265266e-05
2867,8.097664473488697e-06,3.3188846023546326e-05,0.6957853559767818,2.7585062011281636e-05,0.14762545189467718,0.0001527318795597754,3.565216830467288e-06,0.001238912218359034,4.396792476851763e-05,8.946377991148058e-06,0.04618153945652889,2.2529436088492005e-05,3.829353067183461e-06,6.627986056845225e-05,1.7230688104624048,8.576566441365757e-07,1.494177774563621e-07,4.3127756192973266e-06,7.774819133481853e-07,1.583243529612588e-07,2.3334411043685055e-06,2.5013019548103532e-06
2868,9.811061665199183e-06,0.8205280181255499,0.7874496694255732,6.19037560670721e-05,0.05929727795442618,5.783455141994409e-05,6.457713912706373e-06,2.3885913326915365e-05,7.114601441035595e-05,0.2668879816503763,0.0658693839268203,1.7062351286789568e-05,3.5194809566846397e-06,1.7477667475750136e-05,1.3996331591978988,5.615689985562222e-07,3.689077969146193e-08,3.090046104015087e-05,7.919976897953485e-07,1.6537301927854742e-07,0.07463253555174805,1.6935035900000894e-06
2869,1.0808421968572235e-05,7.984920658227201e-05,1.842156228465397e-05,0.1524272083940158,0.4778653445468949,2.2422228853513637e-05,0.9934225855779576,1.7660066064628666e-05,1.9086075608784614e-05,4.855247541984964e-06,0.07486254074655915,1.9853839745787027e-05,0.1367107523672287,3.439196591470059e-05,7.52293471772969e-06,4.1622163182070127e-05,5.10027997502327e-06,6.90727407548497e-07,1.7867145751870178e-05,3.3856822589939384e-07,5.248002324931278e-06,8.20171565042993e-05
2870,9.925358772283621e-06,0.16390604759673744,0.00011018333548015735,0.06587072917619774,0.49401022358540725,0.12082002205475295,9.138038920851466e-06,0.3680437031212159,0.32532085916850884,5.966234307680507e-06,2.7947825267965465e-05,1.4320492423530728e-05,5.1832746140179076e-06,9.416670720630016e-06,0.2815974498725019,4.853651631268885e-06,1.792402364586554e-07,4.537836751694613e-06,6.00416134036684e-06,3.349076811431928e-07,3.5168669113572193e-06,0.18114088132422962
2871,7.72681146800347e-06,0.2723323319102986,0.540261808598242,0.14348349019328943,0.7941221125159204,5.390388491677278e-06,2.9509592607696034e-06,7.2971894661266745e-06,1.6170796637807183e-05,3.1348857085777837e-06,0.1980360035849918,7.771482244151029e-06,4.538244400942304e-06,3.304519386237992e-06,3.034320171235727e-06,4.487873429603884e-06,4.5815237409430054e-08,4.338443120088797e-06,8.969836801861475e-07,8.954308949871148e-08,1.3123988959196087e-06,1.696688631369625e-06
